time,islands_size,island_capacity,islands_distance,islands_diversity,individual_count
147,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
148,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
149,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
150,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
151,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
152,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
153,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
154,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
155,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
156,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
157,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[20, 16]","[20, 16]"
158,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
159,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
160,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
161,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
162,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
163,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
164,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
165,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
166,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
167,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
168,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
169,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
170,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
171,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
172,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
173,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[21, 16]","[21, 16]"
174,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[22, 16]","[22, 16]"
175,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[22, 16]","[22, 16]"
176,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[22, 16]","[22, 16]"
177,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
178,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
179,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
180,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
181,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
182,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
183,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
184,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
185,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
186,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
187,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[23, 16]","[23, 16]"
188,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
189,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
190,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
191,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
192,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
193,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
194,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
